top_topic_name_1,top_topic_weight_1,top_topic_name_2,top_topic_weight_2,top_topic_name_3,top_topic_weight_3
topic_8,48.672520845602556,topic_2,20.960504333536132,topic_7,19.277991948109783
topic_8,68.92879513215122,topic_9,11.776663187614307,topic_2,10.045644344057314
topic_4,29.676591132406802,topic_8,22.782276416526365,topic_7,19.442210818177102
topic_2,30.85121856846113,topic_8,29.497838088361224,topic_4,9.861417787355618
topic_9,49.55084017576573,topic_7,28.574632479849395,topic_2,21.874527344384873
topic_9,89.9912220658949,topic_7,10.008777934105087,topic_1,0.0
topic_4,55.73116671671704,topic_2,35.19247202776976,topic_9,4.519524306539549
topic_4,71.91437469765712,topic_2,10.901568415698224,topic_8,8.835179095969416
topic_9,79.60491848789272,topic_2,13.842171377707983,topic_4,6.552910134399296
topic_2,50.529442943365716,topic_8,23.64340866996393,topic_9,7.645179513069922
topic_9,78.61114696388931,topic_5,13.610239146450532,topic_8,3.556932568416322
topic_6,99.47541713741063,topic_4,0.5245828625893786,topic_1,0.0
topic_6,98.34725945679783,topic_8,1.3719668893921548,topic_2,0.2741230550657849
topic_9,43.423618447285264,topic_8,38.01575184800738,topic_4,16.94087349480376
topic_5,48.33612922224451,topic_9,21.515341578813135,topic_4,16.459106462488034
topic_9,83.11832207370355,topic_8,16.881677926296454,topic_1,0.0
topic_6,95.85849455452353,topic_8,3.1334635782506286,topic_2,0.9004892147561694
topic_8,55.08278633964459,topic_2,33.24122990950738,topic_4,5.025020656157258
topic_8,76.47280576943528,topic_2,9.422529664184276,topic_4,8.83256244168931
topic_2,77.34574956375916,topic_7,12.178752047442757,topic_8,8.180383350084577
topic_9,73.62976020794007,topic_2,21.922063333699317,topic_3,2.9918939943292204
topic_9,31.010786957818997,topic_2,26.39811943255568,topic_4,17.475839586051276
topic_2,99.51932746776548,topic_10,0.4806725322345149,topic_1,0.0
topic_9,54.498075101125735,topic_6,25.91113566647136,topic_2,12.123939751204958
topic_5,53.55519709035855,topic_9,23.70080245779332,topic_4,20.11648758694436
topic_4,78.93900854848157,topic_5,15.789419205909798,topic_2,4.1487658459196455
topic_2,57.64302296365202,topic_9,18.4523887401067,topic_4,9.892086879447302
topic_4,49.046588511752944,topic_9,22.646286197350985,topic_3,16.384450365324536
topic_2,54.742570831894184,topic_9,32.00611196549483,topic_8,10.985364021766364
topic_5,92.10618383778345,topic_4,4.946704134015032,topic_9,2.1236121724286314
topic_9,84.44483832841334,topic_4,8.61917736124835,topic_6,4.7803254137453175
topic_2,56.01299401443687,topic_9,21.274873073892298,topic_5,10.3015535828117
topic_2,70.62009999858135,topic_9,29.379900001418648,topic_1,0.0
topic_2,26.495406879725863,topic_9,20.274451870237524,topic_8,19.051356141767506
topic_2,58.5048633878874,topic_4,22.70572904238477,topic_9,13.069658785332058
